,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Intangible Assets,2189724000.0,2189724000.0,2254056000.0,2254056000.0
Total Liab,1848052000.0,1848052000.0,1680998000.0,1680998000.0
Total Stockholder Equity,2162075000.0,2162075000.0,1621174000.0,1621174000.0
Other Current Liab,63327000.0,63327000.0,,
Total Assets,4010127000.0,4010127000.0,3302172000.0,3302172000.0
Common Stock,2180211000.0,2180211000.0,1684669000.0,1684669000.0
Retained Earnings,-22042000.0,-22042000.0,-45881000.0,-45881000.0
Other Liab,50087000.0,50087000.0,104159000.0,104159000.0
Good Will,58726000.0,58726000.0,59664000.0,59664000.0
Treasury Stock,3906000.0,3906000.0,-17614000.0,-17614000.0
Other Assets,153440000.0,153440000.0,126881000.0,126881000.0
Cash,122690000.0,122690000.0,122553000.0,122553000.0
Total Current Liabilities,129613000.0,129613000.0,143857000.0,143857000.0
Short Long Term Debt,1734638000.0,1734638000.0,1498599000.0,1498599000.0
Other Stockholder Equity,3906000.0,3906000.0,-17614000.0,-17614000.0
Property Plant Equipment,728000.0,728000.0,715000.0,715000.0
Total Current Assets,124172000.0,124172000.0,123302000.0,123302000.0
Long Term Investments,1483337000.0,1483337000.0,737554000.0,737554000.0
Net Tangible Assets,-86375000.0,-86375000.0,-692546000.0,-692546000.0
Net Receivables,618000.0,618000.0,556000.0,556000.0
Long Term Debt,1668352000.0,1668352000.0,1432982000.0,1432982000.0
Accounts Payable,,,3772000.0,3772000.0
