,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,1717000000.0,1717000000.0,1739400000.0,1739400000.0
Total Liab,11194700000.0,11194700000.0,10993000000.0,10993000000.0
Total Stockholder Equity,3434900000.0,3434900000.0,3063500000.0,3063500000.0
Other Current Liab,114000000.0,114000000.0,404600000.0,404600000.0
Total Assets,14629600000.0,14629600000.0,14056500000.0,14056500000.0
Common Stock,5492600000.0,5492600000.0,5404400000.0,5404400000.0
Other Current Assets,45000000.0,45000000.0,91200000.0,91200000.0
Retained Earnings,786600000.0,786600000.0,874700000.0,874700000.0
Other Liab,1059500000.0,1059500000.0,720400000.0,720400000.0
Good Will,12000000.0,12000000.0,35800000.0,35800000.0
Treasury Stock,-2844300000.0,-2844300000.0,-3215600000.0,-3215600000.0
Other Assets,766500000.0,766500000.0,1110200000.0,1110200000.0
Cash,827900000.0,827900000.0,28300000.0,28300000.0
Total Current Liabilities,763300000.0,763300000.0,676600000.0,676600000.0
Short Long Term Debt,325400000.0,325400000.0,265900000.0,265900000.0
Other Stockholder Equity,-2844300000.0,-2844300000.0,-3215600000.0,-3215600000.0
Property Plant Equipment,10163000000.0,10163000000.0,10004900000.0,10004900000.0
Total Current Assets,1841000000.0,1841000000.0,1166200000.0,1166200000.0
Long Term Investments,130100000.0,130100000.0,,
Net Tangible Assets,1705900000.0,1705900000.0,1288300000.0,1288300000.0
Short Term Investments,719800000.0,719800000.0,99800000.0,99800000.0
Net Receivables,204700000.0,204700000.0,896900000.0,896900000.0
Long Term Debt,9287500000.0,9287500000.0,9506600000.0,9506600000.0
Inventory,43500000.0,43500000.0,50000000.0,50000000.0
Accounts Payable,38400000.0,38400000.0,,
