,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,2534800000.0,2534800000.0,179200000.0,179200000.0
Total Liab,13633100000.0,13633100000.0,13694400000.0,13694400000.0
Total Stockholder Equity,3720700000.0,3720700000.0,3720400000.0,3720400000.0
Other Current Liab,12528700000.0,12528700000.0,13236000000.0,13236000000.0
Total Assets,17353800000.0,17353800000.0,17414800000.0,17414800000.0
Common Stock,3027200000.0,3027200000.0,3027200000.0,3027200000.0
Other Current Assets,12574800000.0,12574800000.0,13320500000.0,13320500000.0
Retained Earnings,608500000.0,608500000.0,603800000.0,603800000.0
Other Liab,286400000.0,286400000.0,276500000.0,276500000.0
Treasury Stock,85000000.0,85000000.0,89400000.0,89400000.0
Other Assets,59400000.0,59400000.0,53500000.0,53500000.0
Cash,1178900000.0,1178900000.0,1179500000.0,1179500000.0
Total Current Liabilities,13279600000.0,13279600000.0,13346300000.0,13346300000.0
Deferred Long Term Asset Charges,49300000.0,49300000.0,44800000.0,44800000.0
Other Stockholder Equity,85000000.0,85000000.0,89400000.0,89400000.0
Property Plant Equipment,128000000.0,128000000.0,137000000.0,137000000.0
Total Current Assets,14545200000.0,14545200000.0,14641900000.0,14641900000.0
Long Term Investments,86400000.0,86400000.0,85600000.0,85600000.0
Net Tangible Assets,1185900000.0,1185900000.0,1223600000.0,1223600000.0
Net Receivables,765300000.0,765300000.0,118600000.0,118600000.0
Accounts Payable,720900000.0,720900000.0,5600000.0,5600000.0
Good Will,,,2317600000.0,2317600000.0
