,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,126700000.0,126700000.0,124300000.0,124300000.0
Total Liab,74718000000.0,74718000000.0,70210700000.0,70210700000.0
Total Stockholder Equity,6047200000.0,6047200000.0,5798200000.0,5798200000.0
Total Assets,80765200000.0,80765200000.0,76008900000.0,76008900000.0
Common Stock,4906300000.0,4906300000.0,4909300000.0,4909300000.0
Retained Earnings,1042200000.0,1042200000.0,892500000.0,892500000.0
Other Liab,553700000.0,553700000.0,87200000.0,87200000.0
Good Will,1437500000.0,1437500000.0,1440300000.0,1440300000.0
Treasury Stock,98700000.0,98700000.0,-3600000.0,-3600000.0
Other Assets,69217100000.0,69217100000.0,66174900000.0,66174900000.0
Cash,4693500000.0,4693500000.0,1226700000.0,1226700000.0
Total Current Liabilities,69488900000.0,69488900000.0,64984700000.0,64984700000.0
Deferred Long Term Asset Charges,78700000.0,78700000.0,88300000.0,88300000.0
Other Stockholder Equity,98700000.0,98700000.0,-3600000.0,-3600000.0
Property Plant Equipment,232200000.0,232200000.0,252300000.0,252300000.0
Total Current Assets,9291500000.0,9291500000.0,7162900000.0,7162900000.0
Long Term Investments,460200000.0,460200000.0,854200000.0,854200000.0
Net Tangible Assets,4483000000.0,4483000000.0,4233600000.0,4233600000.0
Net Receivables,3500000.0,3500000.0,108600000.0,108600000.0
Long Term Debt,4675400000.0,4675400000.0,4917400000.0,4917400000.0
Accounts Payable,69339400000.0,69339400000.0,64182600000.0,64182600000.0
Deferred Long Term Liab,,,37100000.0,37100000.0
Other Current Assets,,,163000000.0,163000000.0
Short Long Term Debt,,,147600000.0,147600000.0
Short Term Investments,,,106700000.0,106700000.0
