,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,1606500000.0,1606500000.0,506300000.0,506300000.0
Total Liab,4212900000.0,4212900000.0,4520700000.0,4520700000.0
Total Stockholder Equity,6620600000.0,6620600000.0,6543100000.0,6543100000.0
Minority Interest,491800000.0,491800000.0,496500000.0,496500000.0
Deferred Long Term Liab,19500000.0,19500000.0,15900000.0,15900000.0
Other Current Liab,670100000.0,670100000.0,720400000.0,720400000.0
Total Assets,11325300000.0,11325300000.0,11560300000.0,11560300000.0
Common Stock,3649300000.0,3649300000.0,3634700000.0,3634700000.0
Other Current Assets,175000000.0,175000000.0,170500000.0,170500000.0
Retained Earnings,2920200000.0,2920200000.0,2594400000.0,2594400000.0
Other Liab,755100000.0,755100000.0,877900000.0,877900000.0
Treasury Stock,51100000.0,51100000.0,314000000.0,314000000.0
Other Assets,470800000.0,470800000.0,549000000.0,549000000.0
Cash,1495100000.0,1495100000.0,1399500000.0,1399500000.0
Total Current Liabilities,2425000000.0,2425000000.0,2541000000.0,2541000000.0
Deferred Long Term Asset Charges,335000000.0,335000000.0,413200000.0,413200000.0
Short Long Term Debt,61600000.0,61600000.0,121200000.0,121200000.0
Other Stockholder Equity,51100000.0,51100000.0,314000000.0,314000000.0
Property Plant Equipment,4553200000.0,4553200000.0,4513300000.0,4513300000.0
Total Current Assets,4575300000.0,4575300000.0,4592900000.0,4592900000.0
Long Term Investments,119500000.0,119500000.0,105200000.0,105200000.0
Net Tangible Assets,5014100000.0,5014100000.0,4743200000.0,4743200000.0
Net Receivables,1042000000.0,1042000000.0,1101300000.0,1101300000.0
Long Term Debt,622100000.0,622100000.0,662800000.0,662800000.0
Inventory,1863200000.0,1863200000.0,1921600000.0,1921600000.0
Accounts Payable,1597800000.0,1597800000.0,1238400000.0,1238400000.0
Good Will,,,1293600000.0,1293600000.0
