,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,277600000.0,277600000.0,67100000.0,67100000.0
Total Liab,4658800000.0,4658800000.0,4326800000.0,4326800000.0
Total Stockholder Equity,2838300000.0,2838300000.0,2756400000.0,2756400000.0
Other Current Liab,115000000.0,115000000.0,484700000.0,484700000.0
Total Assets,7497100000.0,7497100000.0,7083200000.0,7083200000.0
Common Stock,5154700000.0,5154700000.0,5427200000.0,5427200000.0
Other Current Assets,79900000.0,79900000.0,12100000.0,12100000.0
Retained Earnings,4944900000.0,4944900000.0,4793500000.0,4793500000.0
Other Liab,518200000.0,518200000.0,451900000.0,451900000.0
Treasury Stock,-7261300000.0,-7261300000.0,-7464300000.0,-7464300000.0
Other Assets,148800000.0,148800000.0,129300000.0,129300000.0
Cash,560800000.0,560800000.0,737300000.0,737300000.0
Total Current Liabilities,1678600000.0,1678600000.0,1506300000.0,1506300000.0
Deferred Long Term Asset Charges,114200000.0,114200000.0,96300000.0,96300000.0
Short Long Term Debt,52700000.0,52700000.0,36300000.0,36300000.0
Other Stockholder Equity,-7261300000.0,-7261300000.0,-7464300000.0,-7464300000.0
Property Plant Equipment,5446000000.0,5446000000.0,5008100000.0,5008100000.0
Total Current Assets,1624700000.0,1624700000.0,1686200000.0,1686200000.0
Net Tangible Assets,2560700000.0,2560700000.0,2496800000.0,2496800000.0
Short Term Investments,115100000.0,115100000.0,68600000.0,68600000.0
Net Receivables,798400000.0,798400000.0,726300000.0,726300000.0
Long Term Debt,1878800000.0,1878800000.0,1777200000.0,1777200000.0
Inventory,70500000.0,70500000.0,67500000.0,67500000.0
Accounts Payable,1363600000.0,1363600000.0,438400000.0,438400000.0
Good Will,,,192500000.0,192500000.0
