,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,1674000000.0,1674000000.0,1660000000.0,1660000000.0
Total Liab,982731000000.0,982731000000.0,942047000000.0,942047000000.0
Total Stockholder Equity,74998000000.0,74998000000.0,72008000000.0,72008000000.0
Minority Interest,5000000.0,5000000.0,5000000.0,5000000.0
Other Current Liab,760000000.0,760000000.0,9681000000.0,9681000000.0
Total Assets,1057734000000.0,1057734000000.0,1014060000000.0,1014060000000.0
Common Stock,38546000000.0,38546000000.0,38282000000.0,38282000000.0
Other Current Assets,20314000000.0,20314000000.0,11096000000.0,11096000000.0
Retained Earnings,34294000000.0,34294000000.0,31211000000.0,31211000000.0
Other Liab,20857000000.0,20857000000.0,5455000000.0,5455000000.0
Good Will,5269000000.0,5269000000.0,5284000000.0,5284000000.0
Treasury Stock,2158000000.0,2158000000.0,2515000000.0,2515000000.0
Other Assets,793379000000.0,793379000000.0,778475000000.0,778475000000.0
Cash,44322000000.0,44322000000.0,27307000000.0,27307000000.0
Total Current Liabilities,780708000000.0,780708000000.0,783479000000.0,783479000000.0
Deferred Long Term Asset Charges,2522000000.0,2522000000.0,2060000000.0,2060000000.0
Other Stockholder Equity,2287000000.0,2287000000.0,2666000000.0,2666000000.0
Property Plant Equipment,5468000000.0,5468000000.0,5602000000.0,5602000000.0
Total Current Assets,144732000000.0,144732000000.0,135189000000.0,135189000000.0
Long Term Investments,107212000000.0,107212000000.0,87850000000.0,87850000000.0
Net Tangible Assets,68055000000.0,68055000000.0,65064000000.0,65064000000.0
Net Receivables,7280000000.0,7280000000.0,3018000000.0,3018000000.0
Long Term Debt,181166000000.0,181166000000.0,150544000000.0,150544000000.0
Accounts Payable,719833000000.0,719833000000.0,685219000000.0,685219000000.0
Short Long Term Debt,,,18764000000.0,18764000000.0
Short Term Investments,,,16858000000.0,16858000000.0
