,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,85338000.0,85338000.0,2930000.0,2930000.0
Total Liab,109660000.0,109660000.0,104223000.0,104223000.0
Total Stockholder Equity,267636000.0,267636000.0,247303000.0,247303000.0
Minority Interest,64000.0,64000.0,40000.0,40000.0
Deferred Long Term Liab,69618000.0,69618000.0,67777000.0,67777000.0
Other Current Liab,19246000.0,19246000.0,39375000.0,39375000.0
Total Assets,377360000.0,377360000.0,351566000.0,351566000.0
Common Stock,45842000.0,45842000.0,247303000.0,247303000.0
Other Current Assets,6528000.0,6528000.0,1025000.0,1025000.0
Retained Earnings,216346000.0,216346000.0,,
Other Liab,7992000.0,7992000.0,6508000.0,6508000.0
Treasury Stock,5448000.0,5448000.0,,
Other Assets,69618000.0,69618000.0,67777000.0,67777000.0
Cash,111207000.0,111207000.0,92830000.0,92830000.0
Total Current Liabilities,76423000.0,76423000.0,70936000.0,70936000.0
Other Stockholder Equity,5448000.0,5448000.0,,
Property Plant Equipment,37718000.0,37718000.0,39543000.0,39543000.0
Total Current Assets,184686000.0,184686000.0,157500000.0,157500000.0
Net Tangible Assets,182298000.0,182298000.0,160557000.0,160557000.0
Net Receivables,20806000.0,20806000.0,27713000.0,27713000.0
Inventory,46145000.0,46145000.0,32606000.0,32606000.0
Accounts Payable,53450000.0,53450000.0,21548000.0,21548000.0
Good Will,,,83816000.0,83816000.0
