,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,17600000.0,17600000.0,18100000.0,18100000.0
Total Liab,24931500000.0,24931500000.0,25212000000.0,25212000000.0
Total Stockholder Equity,3512800000.0,3512800000.0,3249600000.0,3249600000.0
Other Current Liab,10900000.0,10900000.0,3238700000.0,3238700000.0
Total Assets,28444300000.0,28444300000.0,28461600000.0,28461600000.0
Common Stock,2459500000.0,2459500000.0,2424700000.0,2424700000.0
Other Current Assets,1049100000.0,1049100000.0,529400000.0,529400000.0
Retained Earnings,1145700000.0,1145700000.0,922900000.0,922900000.0
Other Liab,17534300000.0,17534300000.0,13618100000.0,13618100000.0
Good Will,579900000.0,579900000.0,579900000.0,579900000.0
Treasury Stock,-92400000.0,-92400000.0,-98000000.0,-98000000.0
Other Assets,4359800000.0,4359800000.0,4508100000.0,4508100000.0
Cash,773900000.0,773900000.0,661900000.0,661900000.0
Total Current Liabilities,5052900000.0,5052900000.0,8808000000.0,8808000000.0
Deferred Long Term Asset Charges,3800000.0,3800000.0,49800000.0,49800000.0
Short Long Term Debt,76500000.0,76500000.0,170600000.0,170600000.0
Other Stockholder Equity,-55500000.0,-55500000.0,-50900000.0,-50900000.0
Property Plant Equipment,63000000.0,63000000.0,58300000.0,58300000.0
Total Current Assets,23360700000.0,23360700000.0,10739400000.0,10739400000.0
Long Term Investments,63300000.0,63300000.0,12557800000.0,12557800000.0
Net Tangible Assets,2915300000.0,2915300000.0,2651600000.0,2651600000.0
Net Receivables,442800000.0,442800000.0,527400000.0,527400000.0
Long Term Debt,2271900000.0,2271900000.0,2724600000.0,2724600000.0
Accounts Payable,-800000.0,-800000.0,-1000000.0,-1000000.0
