,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Intangible Assets,65535000.0,65535000.0,92128000.0,92128000.0
Total Liab,720492000.0,720492000.0,700584000.0,700584000.0
Total Stockholder Equity,127393000.0,127393000.0,90568000.0,90568000.0
Minority Interest,314322000.0,314322000.0,251383000.0,251383000.0
Other Current Liab,16402000.0,16402000.0,15522000.0,15522000.0
Total Assets,1162207000.0,1162207000.0,1042535000.0,1042535000.0
Common Stock,98534000.0,98534000.0,77323000.0,77323000.0
Other Current Assets,18551000.0,18551000.0,18511000.0,18511000.0
Retained Earnings,27470000.0,27470000.0,11694000.0,11694000.0
Other Liab,412421000.0,412421000.0,408091000.0,408091000.0
Good Will,92128000.0,92128000.0,65535000.0,65535000.0
Treasury Stock,1389000.0,1389000.0,1551000.0,1551000.0
Other Assets,288905000.0,288905000.0,297295000.0,297295000.0
Cash,75089000.0,75089000.0,74382000.0,74382000.0
Total Current Liabilities,80683000.0,80683000.0,37066000.0,37066000.0
Short Long Term Debt,274431000.0,274431000.0,255427000.0,255427000.0
Other Stockholder Equity,1389000.0,1389000.0,1551000.0,1551000.0
Total Current Assets,325845000.0,325845000.0,263080000.0,263080000.0
Long Term Investments,389794000.0,389794000.0,324497000.0,324497000.0
Net Tangible Assets,-30270000.0,-30270000.0,-67095000.0,-67095000.0
Net Receivables,13955000.0,13955000.0,16380000.0,16380000.0
Long Term Debt,227388000.0,227388000.0,255427000.0,255427000.0
Accounts Payable,12287000.0,12287000.0,15322000.0,15322000.0
