,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,407300000.0,407300000.0,81300000.0,81300000.0
Total Liab,719000000.0,719000000.0,1174200000.0,1174200000.0
Total Stockholder Equity,1641400000.0,1641400000.0,1401500000.0,1401500000.0
Other Current Liab,98600000.0,98600000.0,184700000.0,184700000.0
Total Assets,2360400000.0,2360400000.0,2575700000.0,2575700000.0
Common Stock,1276200000.0,1276200000.0,1272400000.0,1272400000.0
Other Current Assets,18400000.0,18400000.0,1200000.0,1200000.0
Retained Earnings,352600000.0,352600000.0,116400000.0,116400000.0
Other Liab,73500000.0,73500000.0,71300000.0,71300000.0
Treasury Stock,12600000.0,12600000.0,12700000.0,12700000.0
Other Assets,189400000.0,189400000.0,212300000.0,212300000.0
Cash,587700000.0,587700000.0,565000000.0,565000000.0
Total Current Liabilities,369600000.0,369600000.0,817500000.0,817500000.0
Deferred Long Term Asset Charges,179800000.0,179800000.0,147100000.0,147100000.0
Short Long Term Debt,29800000.0,29800000.0,393100000.0,393100000.0
Other Stockholder Equity,12600000.0,12600000.0,12700000.0,12700000.0
Property Plant Equipment,423900000.0,423900000.0,438800000.0,438800000.0
Total Current Assets,1183500000.0,1183500000.0,1477500000.0,1477500000.0
Long Term Investments,156300000.0,156300000.0,94900000.0,94900000.0
Net Tangible Assets,1234100000.0,1234100000.0,1049300000.0,1049300000.0
Short Term Investments,25000000.0,25000000.0,365000000.0,365000000.0
Net Receivables,327500000.0,327500000.0,304900000.0,304900000.0
Long Term Debt,81000000.0,81000000.0,79900000.0,79900000.0
Inventory,196800000.0,196800000.0,223800000.0,223800000.0
Accounts Payable,146300000.0,146300000.0,159300000.0,159300000.0
Deferred Long Term Liab,,,58100000.0,58100000.0
Good Will,,,270900000.0,270900000.0
