,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,2154500000.0,2154500000.0,985900000.0,985900000.0
Total Liab,9537100000.0,9537100000.0,8937200000.0,8937200000.0
Total Stockholder Equity,8154300000.0,8154300000.0,6527400000.0,6527400000.0
Other Current Liab,603100000.0,603100000.0,257700000.0,257700000.0
Total Assets,17691400000.0,17691400000.0,15464600000.0,15464600000.0
Retained Earnings,12065000000.0,12065000000.0,10752100000.0,10752100000.0
Other Liab,1187400000.0,1187400000.0,1005200000.0,1005200000.0
Treasury Stock,-3910700000.0,-3910700000.0,-4224700000.0,-4224700000.0
Other Assets,533200000.0,533200000.0,558600000.0,558600000.0
Cash,2423400000.0,2423400000.0,1194400000.0,1194400000.0
Total Current Liabilities,2669500000.0,2669500000.0,2141500000.0,2141500000.0
Deferred Long Term Asset Charges,522600000.0,522600000.0,543000000.0,543000000.0
Other Stockholder Equity,612100000.0,612100000.0,336300000.0,336300000.0
Property Plant Equipment,6842900000.0,6842900000.0,6305400000.0,6305400000.0
Total Current Assets,8143200000.0,8143200000.0,6446200000.0,6446200000.0
Long Term Investments,17600000.0,17600000.0,14200000.0,14200000.0
Net Tangible Assets,5999800000.0,5999800000.0,4387200000.0,4387200000.0
Short Term Investments,4100000.0,4100000.0,3300000.0,3300000.0
Net Receivables,2082100000.0,2082100000.0,1593300000.0,1593300000.0
Long Term Debt,4587200000.0,4587200000.0,4824600000.0,4824600000.0
Inventory,3633600000.0,3633600000.0,3509500000.0,3509500000.0
Accounts Payable,1620500000.0,1620500000.0,458300000.0,458300000.0
Good Will,,,1154300000.0,1154300000.0
