,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,13800000.0,13800000.0,14600000.0,14600000.0
Total Liab,1019000000.0,1019000000.0,932500000.0,932500000.0
Total Stockholder Equity,1118800000.0,1118800000.0,1133000000.0,1133000000.0
Minority Interest,33700000.0,33700000.0,68500000.0,68500000.0
Other Current Liab,191900000.0,191900000.0,184600000.0,184600000.0
Total Assets,2171500000.0,2171500000.0,2134000000.0,2134000000.0
Common Stock,966700000.0,966700000.0,966700000.0,966700000.0
Other Current Assets,63000000.0,63000000.0,47300000.0,47300000.0
Retained Earnings,241700000.0,241700000.0,208500000.0,208500000.0
Other Liab,341400000.0,341400000.0,321100000.0,321100000.0
Good Will,58300000.0,58300000.0,58300000.0,58300000.0
Treasury Stock,-89600000.0,-89600000.0,-42200000.0,-42200000.0
Other Assets,341000000.0,341000000.0,314300000.0,314300000.0
Cash,250800000.0,250800000.0,153100000.0,153100000.0
Total Current Liabilities,536500000.0,536500000.0,456900000.0,456900000.0
Deferred Long Term Asset Charges,144900000.0,144900000.0,130300000.0,130300000.0
Other Stockholder Equity,-89600000.0,-89600000.0,-42200000.0,-42200000.0
Property Plant Equipment,820900000.0,820900000.0,875900000.0,875900000.0
Total Current Assets,901800000.0,901800000.0,832400000.0,832400000.0
Long Term Investments,35700000.0,35700000.0,38500000.0,38500000.0
Net Tangible Assets,1046700000.0,1046700000.0,1060100000.0,1060100000.0
Net Receivables,224600000.0,224600000.0,235100000.0,235100000.0
Inventory,354500000.0,354500000.0,386200000.0,386200000.0
Accounts Payable,229100000.0,229100000.0,241000000.0,241000000.0
