,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,164861000.0,164861000.0,166292000.0,166292000.0
Total Liab,2525468000.0,2525468000.0,2435916000.0,2435916000.0
Total Stockholder Equity,1380890000.0,1380890000.0,1314947000.0,1314947000.0
Minority Interest,-3969000.0,-3969000.0,-4073000.0,-4073000.0
Other Current Liab,25536000.0,25536000.0,134935000.0,134935000.0
Total Assets,3902389000.0,3902389000.0,3746790000.0,3746790000.0
Common Stock,992850000.0,992850000.0,961486000.0,961486000.0
Retained Earnings,405652000.0,405652000.0,372012000.0,372012000.0
Other Liab,133636000.0,133636000.0,140111000.0,140111000.0
Good Will,993941000.0,993941000.0,969623000.0,969623000.0
Treasury Stock,-17612000.0,-17612000.0,-18551000.0,-18551000.0
Other Assets,131185000.0,131185000.0,131366000.0,131366000.0
Cash,294076000.0,294076000.0,244778000.0,244778000.0
Total Current Liabilities,1925635000.0,1925635000.0,1767589000.0,1767589000.0
Deferred Long Term Asset Charges,131025000.0,131025000.0,131039000.0,131039000.0
Short Long Term Debt,337736000.0,337736000.0,259183000.0,259183000.0
Other Stockholder Equity,-17612000.0,-17612000.0,-18551000.0,-18551000.0
Property Plant Equipment,385135000.0,385135000.0,402418000.0,402418000.0
Total Current Assets,2172772000.0,2172772000.0,2019834000.0,2019834000.0
Long Term Investments,54495000.0,54495000.0,57257000.0,57257000.0
Net Tangible Assets,222088000.0,222088000.0,179032000.0,179032000.0
Net Receivables,1100504000.0,1100504000.0,1024764000.0,1024764000.0
Long Term Debt,275000000.0,275000000.0,324916000.0,324916000.0
Inventory,759360000.0,759360000.0,737699000.0,737699000.0
Accounts Payable,1481764000.0,1481764000.0,1296851000.0,1296851000.0
Other Current Assets,,,109000.0,109000.0
