,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Total Liab,1279212000.0,1279212000.0,1210857000.0,1210857000.0
Total Stockholder Equity,2503627000.0,2503627000.0,2463795000.0,2463795000.0
Other Current Liab,20185000.0,20185000.0,49577000.0,49577000.0
Total Assets,3782839000.0,3782839000.0,3674652000.0,3674652000.0
Common Stock,2183727000.0,2183727000.0,2183727000.0,2183727000.0
Retained Earnings,304797000.0,304797000.0,229860000.0,229860000.0
Other Liab,504060000.0,504060000.0,365334000.0,365334000.0
Treasury Stock,15103000.0,15103000.0,50208000.0,50208000.0
Other Assets,168951000.0,168951000.0,167827000.0,167827000.0
Cash,438127000.0,438127000.0,372592000.0,372592000.0
Total Current Liabilities,343815000.0,343815000.0,355782000.0,355782000.0
Deferred Long Term Asset Charges,3804000.0,3804000.0,15197000.0,15197000.0
Short Long Term Debt,98415000.0,98415000.0,93453000.0,93453000.0
Other Stockholder Equity,15103000.0,15103000.0,50208000.0,50208000.0
Property Plant Equipment,2806721000.0,2806721000.0,2686841000.0,2686841000.0
Total Current Assets,728003000.0,728003000.0,723789000.0,723789000.0
Long Term Investments,79164000.0,79164000.0,96195000.0,96195000.0
Net Tangible Assets,2503627000.0,2503627000.0,2463795000.0,2463795000.0
Net Receivables,99661000.0,99661000.0,140530000.0,140530000.0
Long Term Debt,419403000.0,419403000.0,468609000.0,468609000.0
Inventory,190215000.0,190215000.0,202157000.0,202157000.0
Accounts Payable,162650000.0,162650000.0,117031000.0,117031000.0
