,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,724270000.0,724270000.0,190851000.0,190851000.0
Total Liab,2359897000.0,2359897000.0,2605880000.0,2605880000.0
Total Stockholder Equity,1165316000.0,1165316000.0,1392984000.0,1392984000.0
Other Current Liab,154487000.0,154487000.0,956199000.0,956199000.0
Total Assets,3525213000.0,3525213000.0,3999066000.0,3999066000.0
Common Stock,1096748000.0,1096748000.0,1094095000.0,1094095000.0
Other Current Assets,123890000.0,123890000.0,138839000.0,138839000.0
Retained Earnings,54469000.0,54469000.0,287717000.0,287717000.0
Other Liab,81654000.0,81654000.0,104646000.0,104646000.0
Treasury Stock,14099000.0,14099000.0,11172000.0,11172000.0
Other Assets,251092000.0,251092000.0,239742000.0,239742000.0
Cash,1592491000.0,1592491000.0,1779550000.0,1779550000.0
Total Current Liabilities,1371106000.0,1371106000.0,1856822000.0,1856822000.0
Deferred Long Term Asset Charges,245063000.0,245063000.0,229499000.0,229499000.0
Short Long Term Debt,323511000.0,323511000.0,210323000.0,210323000.0
Other Stockholder Equity,14099000.0,14099000.0,11172000.0,11172000.0
Property Plant Equipment,393812000.0,393812000.0,524783000.0,524783000.0
Total Current Assets,2102925000.0,2102925000.0,2437639000.0,2437639000.0
Long Term Investments,53114000.0,53114000.0,35038000.0,35038000.0
Net Tangible Assets,441046000.0,441046000.0,631120000.0,631120000.0
Short Term Investments,7752000.0,7752000.0,,
Net Receivables,368536000.0,368536000.0,475635000.0,475635000.0
Long Term Debt,590531000.0,590531000.0,251970000.0,251970000.0
Accounts Payable,798554000.0,798554000.0,444524000.0,444524000.0
Minority Interest,,,202000.0,202000.0
Good Will,,,571013000.0,571013000.0
Inventory,,,12123000.0,12123000.0
