,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,9000000.0,9000000.0,7000000.0,7000000.0
Total Liab,9466000000.0,9466000000.0,10154000000.0,10154000000.0
Total Stockholder Equity,14986000000.0,14986000000.0,13231000000.0,13231000000.0
Minority Interest,21000000.0,21000000.0,13000000.0,13000000.0
Other Current Liab,1272000000.0,1272000000.0,2068000000.0,2068000000.0
Total Assets,24473000000.0,24473000000.0,23398000000.0,23398000000.0
Common Stock,1195000000.0,1195000000.0,1195000000.0,1195000000.0
Other Current Assets,134000000.0,134000000.0,71000000.0,71000000.0
Retained Earnings,13870000000.0,13870000000.0,12002000000.0,12002000000.0
Other Liab,2658000000.0,2658000000.0,2432000000.0,2432000000.0
Treasury Stock,-79000000.0,-79000000.0,34000000.0,34000000.0
Other Assets,20000000.0,20000000.0,21000000.0,21000000.0
Cash,3974000000.0,3974000000.0,4855000000.0,4855000000.0
Total Current Liabilities,2885000000.0,2885000000.0,2795000000.0,2795000000.0
Short Long Term Debt,32000000.0,32000000.0,41000000.0,41000000.0
Other Stockholder Equity,12000000.0,12000000.0,62000000.0,62000000.0
Property Plant Equipment,18395000000.0,18395000000.0,17073000000.0,17073000000.0
Total Current Assets,6049000000.0,6049000000.0,6297000000.0,6297000000.0
Net Tangible Assets,14977000000.0,14977000000.0,13224000000.0,13224000000.0
Net Receivables,988000000.0,988000000.0,543000000.0,543000000.0
Long Term Debt,3171000000.0,3171000000.0,4193000000.0,4193000000.0
Inventory,953000000.0,953000000.0,828000000.0,828000000.0
Accounts Payable,1452000000.0,1452000000.0,281000000.0,281000000.0
