,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Total Liab,1363359000.0,1363359000.0,1426891000.0,1426891000.0
Total Stockholder Equity,2036594000.0,2036594000.0,1901481000.0,1901481000.0
Other Current Liab,92948000.0,92948000.0,93228000.0,93228000.0
Total Assets,3399953000.0,3399953000.0,3328372000.0,3328372000.0
Common Stock,1653727000.0,1653727000.0,1653735000.0,1653735000.0
Other Current Assets,5018000.0,5018000.0,108256000.0,108256000.0
Retained Earnings,375887000.0,375887000.0,241384000.0,241384000.0
Treasury Stock,6980000.0,6980000.0,6362000.0,6362000.0
Other Assets,868000.0,868000.0,929000.0,929000.0
Cash,31521000.0,31521000.0,31459000.0,31459000.0
Total Current Liabilities,115578000.0,115578000.0,121071000.0,121071000.0
Deferred Long Term Asset Charges,868000.0,868000.0,929000.0,929000.0
Short Long Term Debt,1247781000.0,1247781000.0,1305820000.0,1305820000.0
Other Stockholder Equity,6980000.0,6980000.0,6362000.0,6362000.0
Property Plant Equipment,3286135000.0,3286135000.0,3181472000.0,3181472000.0
Total Current Assets,38205000.0,38205000.0,145850000.0,145850000.0
Long Term Investments,74745000.0,74745000.0,121000.0,121000.0
Net Tangible Assets,2036594000.0,2036594000.0,1901481000.0,1901481000.0
Net Receivables,1666000.0,1666000.0,6135000.0,6135000.0
Long Term Debt,1247781000.0,1247781000.0,1305820000.0,1305820000.0
Accounts Payable,1457000.0,1457000.0,2350000.0,2350000.0
