,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,78600000.0,78600000.0,79300000.0,79300000.0
Total Liab,1890500000.0,1890500000.0,2635200000.0,2635200000.0
Total Stockholder Equity,2006700000.0,2006700000.0,1931300000.0,1931300000.0
Other Current Liab,200200000.0,200200000.0,479100000.0,479100000.0
Total Assets,3897200000.0,3897200000.0,4566500000.0,4566500000.0
Common Stock,2673000000.0,2673000000.0,2672300000.0,2672300000.0
Retained Earnings,-672400000.0,-672400000.0,-737600000.0,-737600000.0
Other Liab,19400000.0,19400000.0,74200000.0,74200000.0
Good Will,2040200000.0,2040200000.0,2040200000.0,2040200000.0
Treasury Stock,6100000.0,6100000.0,-3400000.0,-3400000.0
Other Assets,166600000.0,166600000.0,82400000.0,82400000.0
Cash,63700000.0,63700000.0,137500000.0,137500000.0
Total Current Liabilities,624300000.0,624300000.0,972800000.0,972800000.0
Deferred Long Term Asset Charges,89400000.0,89400000.0,74400000.0,74400000.0
Short Long Term Debt,4200000.0,4200000.0,9500000.0,9500000.0
Other Stockholder Equity,7000000.0,7000000.0,-3400000.0,-3400000.0
Property Plant Equipment,1315700000.0,1315700000.0,1043600000.0,1043600000.0
Total Current Assets,296100000.0,296100000.0,1319800000.0,1319800000.0
Net Tangible Assets,-112100000.0,-112100000.0,-188200000.0,-188200000.0
Net Receivables,200400000.0,200400000.0,227000000.0,227000000.0
Long Term Debt,222200000.0,222200000.0,824300000.0,824300000.0
Inventory,32000000.0,32000000.0,26900000.0,26900000.0
Accounts Payable,201500000.0,201500000.0,203000000.0,203000000.0
Other Current Assets,,,915600000.0,915600000.0
Long Term Investments,,,1200000.0,1200000.0
