,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,35948202.0,35948202.0,23637676.0,23637676.0
Total Liab,22249437.0,22249437.0,22994151.0,22994151.0
Total Stockholder Equity,152992461.0,152992461.0,74823371.0,74823371.0
Other Current Liab,6221567.0,6221567.0,4755987.0,4755987.0
Total Assets,175241898.0,175241898.0,97817522.0,97817522.0
Common Stock,174283001.0,174283001.0,100172838.0,100172838.0
Other Current Assets,5845241.0,5845241.0,1799377.0,1799377.0
Retained Earnings,-30230237.0,-30230237.0,-34145795.0,-34145795.0
Other Liab,2483924.0,2483924.0,3668718.0,3668718.0
Good Will,16325588.0,16325588.0,16325588.0,16325588.0
Treasury Stock,8939697.0,8939697.0,8796328.0,8796328.0
Other Assets,10964733.0,10964733.0,5101024.0,5101024.0
Cash,85275805.0,85275805.0,33809323.0,33809323.0
Total Current Liabilities,14567628.0,14567628.0,14940163.0,14940163.0
Deferred Long Term Asset Charges,3414733.0,3414733.0,5101024.0,5101024.0
Other Stockholder Equity,8940101.0,8940101.0,8823118.0,8823118.0
Property Plant Equipment,7954612.0,7954612.0,7098453.0,7098453.0
Total Current Assets,104048763.0,104048763.0,45654781.0,45654781.0
Net Tangible Assets,100718671.0,100718671.0,34860107.0,34860107.0
Net Receivables,12927717.0,12927717.0,10046081.0,10046081.0
Accounts Payable,138297.0,138297.0,1690042.0,1690042.0
