,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,498625000.0,498625000.0,343958000.0,343958000.0
Total Liab,2101106000.0,2101106000.0,2515403000.0,2515403000.0
Total Stockholder Equity,2763276000.0,2763276000.0,1743492000.0,1743492000.0
Minority Interest,-250000.0,-250000.0,-229000.0,-229000.0
Deferred Long Term Liab,977000.0,977000.0,994000.0,994000.0
Other Current Liab,1625830000.0,1625830000.0,1494246000.0,1494246000.0
Total Assets,4864132000.0,4864132000.0,4258666000.0,4258666000.0
Common Stock,3000619000.0,3000619000.0,1970847000.0,1970847000.0
Other Current Assets,1243182000.0,1243182000.0,1183123000.0,1183123000.0
Retained Earnings,-235356000.0,-235356000.0,-313604000.0,-313604000.0
Other Liab,371342000.0,371342000.0,447157000.0,447157000.0
Good Will,1506265000.0,1506265000.0,1596042000.0,1596042000.0
Treasury Stock,-1987000.0,-1987000.0,86249000.0,86249000.0
Other Assets,133292000.0,133292000.0,148061000.0,148061000.0
Cash,895960000.0,895960000.0,370990000.0,370990000.0
Total Current Liabilities,1644819000.0,1644819000.0,1514740000.0,1514740000.0
Deferred Long Term Asset Charges,13347000.0,13347000.0,49738000.0,49738000.0
Short Long Term Debt,-1994000.0,-1994000.0,,
Other Stockholder Equity,2631000.0,2631000.0,91272000.0,91272000.0
Property Plant Equipment,124030000.0,124030000.0,134443000.0,134443000.0
Total Current Assets,2579229000.0,2579229000.0,1882908000.0,1882908000.0
Long Term Investments,22691000.0,22691000.0,153254000.0,153254000.0
Net Tangible Assets,758386000.0,758386000.0,-196508000.0,-196508000.0
Short Term Investments,100000000.0,100000000.0,,
Net Receivables,328087000.0,328087000.0,312530000.0,312530000.0
Long Term Debt,,,457858000.0,457858000.0
