,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,40600000.0,40600000.0,34600000.0,34600000.0
Total Liab,5448000000.0,5448000000.0,4314600000.0,4314600000.0
Total Stockholder Equity,2644000000.0,2644000000.0,2513000000.0,2513000000.0
Minority Interest,1445200000.0,1445200000.0,1109900000.0,1109900000.0
Other Current Liab,1000000000.0,1000000000.0,22800000.0,22800000.0
Total Assets,9537200000.0,9537200000.0,7937500000.0,7937500000.0
Common Stock,1049000000.0,1049000000.0,1049100000.0,1049100000.0
Other Current Assets,2329600000.0,2329600000.0,66700000.0,66700000.0
Retained Earnings,735500000.0,735500000.0,857700000.0,857700000.0
Other Liab,531700000.0,531700000.0,590500000.0,590500000.0
Good Will,770700000.0,770700000.0,113100000.0,113100000.0
Treasury Stock,859500000.0,859500000.0,606200000.0,606200000.0
Other Assets,365600000.0,365600000.0,438200000.0,438200000.0
Cash,133800000.0,133800000.0,435200000.0,435200000.0
Total Current Liabilities,1672000000.0,1672000000.0,502700000.0,502700000.0
Short Long Term Debt,345900000.0,345900000.0,255000000.0,255000000.0
Other Stockholder Equity,859500000.0,859500000.0,606200000.0,606200000.0
Property Plant Equipment,3354200000.0,3354200000.0,4443500000.0,4443500000.0
Total Current Assets,2798300000.0,2798300000.0,747200000.0,747200000.0
Long Term Investments,2207800000.0,2207800000.0,2160900000.0,2160900000.0
Net Tangible Assets,1832700000.0,1832700000.0,2365300000.0,2365300000.0
Net Receivables,108000000.0,108000000.0,245300000.0,245300000.0
Long Term Debt,3062000000.0,3062000000.0,2986100000.0,2986100000.0
Inventory,1900000.0,1900000.0,,
Accounts Payable,305800000.0,305800000.0,200700000.0,200700000.0
