,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Total Liab,321536000.0,321536000.0,367221000.0,367221000.0
Total Stockholder Equity,2647533000.0,2647533000.0,1925809000.0,1925809000.0
Other Current Liab,8894000.0,8894000.0,,
Total Assets,2969069000.0,2969069000.0,2293030000.0,2293030000.0
Common Stock,2594298000.0,2594298000.0,1897126000.0,1897126000.0
Other Current Assets,95437000.0,95437000.0,64000.0,64000.0
Retained Earnings,34422000.0,34422000.0,9809000.0,9809000.0
Other Liab,212711000.0,212711000.0,210428000.0,210428000.0
Treasury Stock,18813000.0,18813000.0,18874000.0,18874000.0
Other Assets,153623000.0,153623000.0,187933000.0,187933000.0
Cash,1186135000.0,1186135000.0,510312000.0,510312000.0
Total Current Liabilities,77146000.0,77146000.0,123243000.0,123243000.0
Deferred Long Term Asset Charges,100901000.0,100901000.0,119734000.0,119734000.0
Other Stockholder Equity,18813000.0,18813000.0,18874000.0,18874000.0
Property Plant Equipment,1273191000.0,1273191000.0,1342227000.0,1342227000.0
Total Current Assets,1542255000.0,1542255000.0,762870000.0,762870000.0
Net Tangible Assets,2647533000.0,2647533000.0,1925809000.0,1925809000.0
Net Receivables,61590000.0,61590000.0,65906000.0,65906000.0
Inventory,84853000.0,84853000.0,75670000.0,75670000.0
Accounts Payable,54332000.0,54332000.0,53013000.0,53013000.0
Short Long Term Debt,,,56937000.0,56937000.0
