,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Total Liab,1071600000.0,1071600000.0,1184800000.0,1184800000.0
Total Stockholder Equity,1291900000.0,1291900000.0,786900000.0,786900000.0
Minority Interest,400000.0,400000.0,2000000.0,2000000.0
Other Current Liab,236000000.0,236000000.0,356500000.0,356500000.0
Total Assets,2363900000.0,2363900000.0,1973700000.0,1973700000.0
Common Stock,1151600000.0,1151600000.0,1160500000.0,1160500000.0
Other Current Assets,1900000.0,1900000.0,,
Retained Earnings,104300000.0,104300000.0,-391900000.0,-391900000.0
Other Liab,757700000.0,757700000.0,711500000.0,711500000.0
Treasury Stock,36000000.0,36000000.0,18300000.0,18300000.0
Other Assets,141000000.0,141000000.0,168900000.0,168900000.0
Cash,87100000.0,87100000.0,150300000.0,150300000.0
Total Current Liabilities,261200000.0,261200000.0,367800000.0,367800000.0
Deferred Long Term Asset Charges,28400000.0,28400000.0,15000000.0,15000000.0
Other Stockholder Equity,37100000.0,37100000.0,18300000.0,18300000.0
Property Plant Equipment,1082200000.0,1082200000.0,1119500000.0,1119500000.0
Total Current Assets,688600000.0,688600000.0,682000000.0,682000000.0
Long Term Investments,452100000.0,452100000.0,,
Net Tangible Assets,1291900000.0,1291900000.0,783600000.0,783600000.0
Net Receivables,81600000.0,81600000.0,125200000.0,125200000.0
Long Term Debt,36900000.0,36900000.0,88200000.0,88200000.0
Inventory,504100000.0,504100000.0,406500000.0,406500000.0
Intangible Assets,,,3300000.0,3300000.0
