,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Intangible Assets,1857000.0,1857000.0,2021000.0,2021000.0
Total Liab,296779000.0,296779000.0,232424000.0,232424000.0
Total Stockholder Equity,524598000.0,524598000.0,515732000.0,515732000.0
Other Current Liab,34833000.0,34833000.0,33113000.0,33113000.0
Total Assets,821377000.0,821377000.0,748156000.0,748156000.0
Common Stock,812071000.0,812071000.0,809836000.0,809836000.0
Other Current Assets,30382000.0,30382000.0,3125000.0,3125000.0
Retained Earnings,-288314000.0,-288314000.0,-295178000.0,-295178000.0
Other Liab,5938000.0,5938000.0,6648000.0,6648000.0
Treasury Stock,841000.0,841000.0,1074000.0,1074000.0
Other Assets,10027000.0,10027000.0,10466000.0,10466000.0
Cash,7084000.0,7084000.0,9645000.0,9645000.0
Total Current Liabilities,55268000.0,55268000.0,55378000.0,55378000.0
Deferred Long Term Asset Charges,6763000.0,6763000.0,7464000.0,7464000.0
Short Long Term Debt,236059000.0,236059000.0,171112000.0,171112000.0
Other Stockholder Equity,841000.0,841000.0,1074000.0,1074000.0
Property Plant Equipment,737330000.0,737330000.0,696225000.0,696225000.0
Total Current Assets,69900000.0,69900000.0,37181000.0,37181000.0
Long Term Investments,2263000.0,2263000.0,2263000.0,2263000.0
Net Tangible Assets,522741000.0,522741000.0,513711000.0,513711000.0
Net Receivables,6766000.0,6766000.0,2814000.0,2814000.0
Long Term Debt,230097000.0,230097000.0,164790000.0,164790000.0
Inventory,25668000.0,25668000.0,21597000.0,21597000.0
Accounts Payable,18299000.0,18299000.0,20071000.0,20071000.0
