,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,77000000.0,77000000.0,55000000.0,55000000.0
Total Liab,3097000000.0,3097000000.0,3146000000.0,3146000000.0
Total Stockholder Equity,3690000000.0,3690000000.0,3739000000.0,3739000000.0
Other Current Liab,360000000.0,360000000.0,403000000.0,403000000.0
Total Assets,6787000000.0,6787000000.0,6885000000.0,6885000000.0
Common Stock,378000000.0,378000000.0,378000000.0,378000000.0
Other Current Assets,86000000.0,86000000.0,67000000.0,67000000.0
Retained Earnings,302000000.0,302000000.0,292000000.0,292000000.0
Other Liab,1389000000.0,1389000000.0,1325000000.0,1325000000.0
Treasury Stock,3010000000.0,3010000000.0,3069000000.0,3069000000.0
Other Assets,70000000.0,70000000.0,92000000.0,92000000.0
Cash,91000000.0,91000000.0,79000000.0,79000000.0
Total Current Liabilities,914000000.0,914000000.0,875000000.0,875000000.0
Short Long Term Debt,554000000.0,554000000.0,468000000.0,468000000.0
Other Stockholder Equity,3111000000.0,3111000000.0,3170000000.0,3170000000.0
Property Plant Equipment,5934000000.0,5934000000.0,5898000000.0,5898000000.0
Total Current Assets,430000000.0,430000000.0,473000000.0,473000000.0
Long Term Investments,276000000.0,276000000.0,367000000.0,367000000.0
Net Tangible Assets,3613000000.0,3613000000.0,3684000000.0,3684000000.0
Net Receivables,230000000.0,230000000.0,246000000.0,246000000.0
Long Term Debt,728000000.0,728000000.0,882000000.0,882000000.0
Inventory,23000000.0,23000000.0,22000000.0,22000000.0
