,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,23300000.0,23300000.0,24700000.0,24700000.0
Total Liab,2059000000.0,2059000000.0,2335300000.0,2335300000.0
Total Stockholder Equity,2646000000.0,2646000000.0,2264800000.0,2264800000.0
Minority Interest,27100000.0,27100000.0,30800000.0,30800000.0
Other Current Liab,92200000.0,92200000.0,464500000.0,464500000.0
Total Assets,4732100000.0,4732100000.0,4630900000.0,4630900000.0
Common Stock,530300000.0,530300000.0,526600000.0,526600000.0
Other Current Assets,28500000.0,28500000.0,,
Retained Earnings,2111200000.0,2111200000.0,1738400000.0,1738400000.0
Other Liab,361500000.0,361500000.0,220800000.0,220800000.0
Treasury Stock,4500000.0,4500000.0,-200000.0,-200000.0
Other Assets,777700000.0,777700000.0,826500000.0,826500000.0
Cash,1113400000.0,1113400000.0,1521800000.0,1521800000.0
Total Current Liabilities,645700000.0,645700000.0,924300000.0,924300000.0
Deferred Long Term Asset Charges,70200000.0,70200000.0,119800000.0,119800000.0
Other Stockholder Equity,6200000.0,6200000.0,10100000.0,10100000.0
Property Plant Equipment,2147900000.0,2147900000.0,1842300000.0,1842300000.0
Total Current Assets,1639900000.0,1639900000.0,1893700000.0,1893700000.0
Long Term Investments,143300000.0,143300000.0,42300000.0,42300000.0
Net Tangible Assets,2622700000.0,2622700000.0,2238700000.0,2238700000.0
Net Receivables,355900000.0,355900000.0,177500000.0,177500000.0
Long Term Debt,896800000.0,896800000.0,1006700000.0,1006700000.0
Inventory,142100000.0,142100000.0,155600000.0,155600000.0
Accounts Payable,368500000.0,368500000.0,305900000.0,305900000.0
Deferred Long Term Liab,,,21800000.0,21800000.0
Good Will,,,1400000.0,1400000.0
