,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Total Liab,408663000.0,408663000.0,292303000.0,292303000.0
Total Stockholder Equity,2831844000.0,2831844000.0,2573767000.0,2573767000.0
Other Current Liab,1428000.0,1428000.0,2304000.0,2304000.0
Total Assets,3240507000.0,3240507000.0,2866070000.0,2866070000.0
Common Stock,1649317000.0,1649317000.0,1644321000.0,1644321000.0
Retained Earnings,247054000.0,247054000.0,268412000.0,268412000.0
Other Liab,407235000.0,407235000.0,289999000.0,289999000.0
Treasury Stock,935473000.0,935473000.0,661034000.0,661034000.0
Other Assets,5380000.0,5380000.0,4409000.0,4409000.0
Cash,59718000.0,59718000.0,114069000.0,114069000.0
Total Current Liabilities,1428000.0,1428000.0,2304000.0,2304000.0
Deferred Long Term Asset Charges,312000.0,312000.0,292000.0,292000.0
Other Stockholder Equity,935473000.0,935473000.0,661034000.0,661034000.0
Property Plant Equipment,5930000.0,5930000.0,5376000.0,5376000.0
Total Current Assets,62876000.0,62876000.0,125417000.0,125417000.0
Long Term Investments,3166321000.0,3166321000.0,2730868000.0,2730868000.0
Net Tangible Assets,2831844000.0,2831844000.0,2573767000.0,2573767000.0
Net Receivables,2954000.0,2954000.0,10938000.0,10938000.0
