,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,2921000.0,2921000.0,2675000.0,2675000.0
Total Liab,1184754000.0,1184754000.0,918510000.0,918510000.0
Total Stockholder Equity,144796000.0,144796000.0,143209000.0,143209000.0
Minority Interest,1649212000.0,1649212000.0,1578615000.0,1578615000.0
Other Current Liab,57517000.0,57517000.0,49152000.0,49152000.0
Total Assets,2978762000.0,2978762000.0,2640334000.0,2640334000.0
Common Stock,133774000.0,133774000.0,133169000.0,133169000.0
Other Current Assets,6785000.0,6785000.0,10469000.0,10469000.0
Retained Earnings,11007000.0,11007000.0,10030000.0,10030000.0
Other Liab,6397000.0,6397000.0,5352000.0,5352000.0
Good Will,43954000.0,43954000.0,43954000.0,43954000.0
Treasury Stock,15000.0,15000.0,10000.0,10000.0
Other Assets,8421000.0,8421000.0,7559000.0,7559000.0
Cash,48065000.0,48065000.0,90352000.0,90352000.0
Total Current Liabilities,78016000.0,78016000.0,70517000.0,70517000.0
Deferred Long Term Asset Charges,7009000.0,7009000.0,7041000.0,7041000.0
Short Long Term Debt,68000.0,68000.0,50000.0,50000.0
Other Stockholder Equity,15000.0,15000.0,10000.0,10000.0
Property Plant Equipment,2825228000.0,2825228000.0,2459716000.0,2459716000.0
Total Current Assets,82783000.0,82783000.0,117960000.0,117960000.0
Long Term Investments,15455000.0,15455000.0,8470000.0,8470000.0
Net Tangible Assets,97921000.0,97921000.0,96580000.0,96580000.0
Net Receivables,26786000.0,26786000.0,16306000.0,16306000.0
Long Term Debt,939665000.0,939665000.0,678059000.0,678059000.0
Inventory,1147000.0,1147000.0,833000.0,833000.0
Accounts Payable,13961000.0,13961000.0,939000.0,939000.0
