,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,7720000.0,7720000.0,9436000.0,9436000.0
Total Liab,1281482000.0,1281482000.0,1667627000.0,1667627000.0
Total Stockholder Equity,2096784000.0,2096784000.0,2143758000.0,2143758000.0
Other Current Liab,8180000.0,8180000.0,30389000.0,30389000.0
Total Assets,3378266000.0,3378266000.0,3811385000.0,3811385000.0
Common Stock,1329106000.0,1329106000.0,1323900000.0,1323900000.0
Retained Earnings,791032000.0,791032000.0,806465000.0,806465000.0
Other Liab,602988000.0,602988000.0,579621000.0,579621000.0
Treasury Stock,-23354000.0,-23354000.0,13393000.0,13393000.0
Other Assets,331555000.0,331555000.0,337338000.0,337338000.0
Cash,317408000.0,317408000.0,677260000.0,677260000.0
Total Current Liabilities,413412000.0,413412000.0,638227000.0,638227000.0
Short Long Term Debt,150593000.0,150593000.0,302481000.0,302481000.0
Other Stockholder Equity,-23354000.0,-23354000.0,13393000.0,13393000.0
Property Plant Equipment,2319993000.0,2319993000.0,2331817000.0,2331817000.0
Total Current Assets,692490000.0,692490000.0,1111425000.0,1111425000.0
Long Term Investments,26508000.0,26508000.0,21369000.0,21369000.0
Net Tangible Assets,2089064000.0,2089064000.0,2134322000.0,2134322000.0
Net Receivables,54404000.0,54404000.0,95321000.0,95321000.0
Long Term Debt,220971000.0,220971000.0,394779000.0,394779000.0
Inventory,261590000.0,261590000.0,289654000.0,289654000.0
Accounts Payable,143412000.0,143412000.0,46981000.0,46981000.0
