,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,1915000000.0,1934000000.0,1869000000.0,2345000000.0
Capital Surplus,12044000000.0,12091000000.0,12075000000.0,12148000000.0
Total Liab,6268000000.0,6020000000.0,5946000000.0,5872000000.0
Total Stockholder Equity,8188000000.0,8131000000.0,7639000000.0,7582000000.0
Minority Interest,941000000.0,943000000.0,815000000.0,807000000.0
Other Current Liab,994000000.0,925000000.0,956000000.0,936000000.0
Total Assets,15397000000.0,15094000000.0,14400000000.0,14261000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,336000000.0,333000000.0,392000000.0,327000000.0
Retained Earnings,-2897000000.0,-2976000000.0,-3207000000.0,-3241000000.0
Other Liab,926000000.0,923000000.0,834000000.0,827000000.0
Good Will,4304000000.0,4292000000.0,3997000000.0,3951000000.0
Treasury Stock,-965000000.0,-990000000.0,-1235000000.0,-1331000000.0
Other Assets,1521000000.0,1444000000.0,1404000000.0,1249000000.0
Cash,1974000000.0,1562000000.0,1539000000.0,1517000000.0
Total Current Liabilities,3169000000.0,2861000000.0,2738000000.0,2682000000.0
Deferred Long Term Asset Charges,302000000.0,337000000.0,337000000.0,332000000.0
Short Long Term Debt,183000000.0,182000000.0,50000000.0,48000000.0
Other Stockholder Equity,-965000000.0,-990000000.0,-1235000000.0,-1331000000.0
Property Plant Equipment,3323000000.0,3389000000.0,3273000000.0,2836000000.0
Total Current Assets,3943000000.0,3596000000.0,3435000000.0,3461000000.0
Long Term Investments,391000000.0,439000000.0,422000000.0,419000000.0
Net Tangible Assets,1969000000.0,1905000000.0,1773000000.0,1286000000.0
Net Receivables,1387000000.0,1498000000.0,1301000000.0,1269000000.0
Long Term Debt,948000000.0,990000000.0,1152000000.0,1127000000.0
Inventory,246000000.0,203000000.0,203000000.0,348000000.0
Accounts Payable,336000000.0,291000000.0,322000000.0,351000000.0
