,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Capital Surplus,58200000.0,56400000.0,54300000.0,52200000.0
Total Liab,670000000.0,688400000.0,733400000.0,665000000.0
Total Stockholder Equity,1580300000.0,1564900000.0,1413500000.0,1500900000.0
Other Current Liab,82600000.0,94300000.0,172000000.0,124600000.0
Total Assets,2250300000.0,2253300000.0,2146900000.0,2165900000.0
Common Stock,1230500000.0,1229500000.0,1107200000.0,1107200000.0
Retained Earnings,256600000.0,240600000.0,236800000.0,333600000.0
Other Liab,146400000.0,132700000.0,112900000.0,104000000.0
Treasury Stock,35000000.0,38400000.0,15200000.0,7900000.0
Other Assets,344700000.0,326300000.0,323500000.0,295400000.0
Cash,145500000.0,179000000.0,127000000.0,147700000.0
Total Current Liabilities,237200000.0,266300000.0,328700000.0,268000000.0
Deferred Long Term Asset Charges,22800000.0,19100000.0,23900000.0,25300000.0
Short Long Term Debt,900000.0,900000.0,1400000.0,1400000.0
Other Stockholder Equity,35000000.0,38400000.0,15200000.0,7900000.0
Property Plant Equipment,1629400000.0,1614400000.0,1555900000.0,1575800000.0
Total Current Assets,270800000.0,307100000.0,261900000.0,290300000.0
Long Term Investments,5400000.0,5500000.0,5600000.0,4400000.0
Net Tangible Assets,1580300000.0,1564900000.0,1413500000.0,1500900000.0
Net Receivables,7700000.0,7500000.0,17100000.0,7200000.0
Long Term Debt,205600000.0,205800000.0,207400000.0,207700000.0
Inventory,107200000.0,108200000.0,102300000.0,124300000.0
Accounts Payable,117800000.0,132500000.0,120500000.0,106300000.0
Deferred Long Term Liab,,,100000.0,100000.0
Other Current Assets,,,300000.0,300000.0
