,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,1755800000.0,1755800000.0,589700000.0,589700000.0
Total Liab,4987000000.0,4987000000.0,5270300000.0,5270300000.0
Total Stockholder Equity,3122100000.0,3122100000.0,3137200000.0,3137200000.0
Minority Interest,45600000.0,45600000.0,48800000.0,48800000.0
Other Current Liab,524400000.0,524400000.0,551200000.0,551200000.0
Total Assets,8154700000.0,8154700000.0,8456300000.0,8456300000.0
Common Stock,2677700000.0,2677700000.0,2659100000.0,2659100000.0
Other Current Assets,100200000.0,100200000.0,156700000.0,156700000.0
Retained Earnings,1196900000.0,1196900000.0,1148400000.0,1148400000.0
Other Liab,728900000.0,728900000.0,743600000.0,743600000.0
Treasury Stock,-752500000.0,-752500000.0,-670300000.0,-670300000.0
Other Assets,366900000.0,366900000.0,430200000.0,430200000.0
Cash,988800000.0,988800000.0,920500000.0,920500000.0
Total Current Liabilities,1484000000.0,1484000000.0,2169400000.0,2169400000.0
Deferred Long Term Asset Charges,302900000.0,302900000.0,309000000.0,309000000.0
Short Long Term Debt,157300000.0,157300000.0,615000000.0,615000000.0
Other Stockholder Equity,-752500000.0,-752500000.0,-670300000.0,-670300000.0
Property Plant Equipment,3175400000.0,3175400000.0,3316400000.0,3316400000.0
Total Current Assets,2567100000.0,2567100000.0,2664000000.0,2664000000.0
Long Term Investments,289500000.0,289500000.0,301600000.0,301600000.0
Net Tangible Assets,1366300000.0,1366300000.0,1393100000.0,1393100000.0
Net Receivables,853100000.0,853100000.0,976800000.0,976800000.0
Long Term Debt,2563500000.0,2563500000.0,2123600000.0,2123600000.0
Inventory,625000000.0,625000000.0,610000000.0,610000000.0
Accounts Payable,742200000.0,742200000.0,739700000.0,739700000.0
Good Will,,,1154400000.0,1154400000.0
