,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Total Liab,1544600000.0,1544600000.0,1009700000.0,1009700000.0
Total Stockholder Equity,3211400000.0,3211400000.0,3007800000.0,3007800000.0
Other Current Liab,63600000.0,63600000.0,82200000.0,82200000.0
Total Assets,4756000000.0,4756000000.0,4017500000.0,4017500000.0
Common Stock,2371400000.0,2371400000.0,2280400000.0,2280400000.0
Retained Earnings,873700000.0,873700000.0,757000000.0,757000000.0
Other Liab,413400000.0,413400000.0,395200000.0,395200000.0
Treasury Stock,-33700000.0,-33700000.0,-29600000.0,-29600000.0
Other Assets,307300000.0,307300000.0,318600000.0,318600000.0
Cash,131700000.0,131700000.0,114500000.0,114500000.0
Total Current Liabilities,446900000.0,446900000.0,385600000.0,385600000.0
Deferred Long Term Asset Charges,7000000.0,7000000.0,5200000.0,5200000.0
Other Stockholder Equity,-33700000.0,-33700000.0,-29600000.0,-29600000.0
Property Plant Equipment,3879400000.0,3879400000.0,3152400000.0,3152400000.0
Total Current Assets,569300000.0,569300000.0,546500000.0,546500000.0
Net Tangible Assets,3211400000.0,3211400000.0,3007800000.0,3007800000.0
Net Receivables,173800000.0,173800000.0,172800000.0,172800000.0
Inventory,252100000.0,252100000.0,255000000.0,255000000.0
Accounts Payable,190100000.0,190100000.0,153100000.0,153100000.0
