,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,68954680.0,68954680.0,56782098.0,56782098.0
Total Liab,148428412.0,148428412.0,39046563.0,39046563.0
Total Stockholder Equity,513173065.0,513173065.0,177125296.0,177125296.0
Other Current Liab,35100827.0,35100827.0,11592753.0,11592753.0
Total Assets,661601477.0,661601477.0,216171859.0,216171859.0
Common Stock,641683897.0,641683897.0,261758201.0,261758201.0
Other Current Assets,970356.0,970356.0,,
Retained Earnings,-179073615.0,-179073615.0,-93482644.0,-93482644.0
Other Liab,962754.0,962754.0,4428247.0,4428247.0
Treasury Stock,50562783.0,50562783.0,8849739.0,8849739.0
Other Assets,153027306.0,153027306.0,,
Cash,388345549.0,388345549.0,144338937.0,144338937.0
Total Current Liabilities,66838538.0,66838538.0,26449665.0,26449665.0
Other Stockholder Equity,50562783.0,50562783.0,8849739.0,8849739.0
Property Plant Equipment,13829774.0,13829774.0,11573532.0,11573532.0
Total Current Assets,425569539.0,425569539.0,146088216.0,146088216.0
Long Term Investments,220178.0,220178.0,1728013.0,1728013.0
Net Tangible Assets,444218385.0,444218385.0,120343198.0,120343198.0
Net Receivables,306272.0,306272.0,272151.0,272151.0
Long Term Debt,73335269.0,73335269.0,,
Accounts Payable,6251279.0,6251279.0,7476563.0,7476563.0
