,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,50432000.0,50432000.0,56010000.0,56010000.0
Total Liab,174288000.0,174288000.0,210596000.0,210596000.0
Total Stockholder Equity,918041000.0,918041000.0,895758000.0,895758000.0
Other Current Liab,17923000.0,17923000.0,20235000.0,20235000.0
Total Assets,1092329000.0,1092329000.0,1106354000.0,1106354000.0
Common Stock,623024000.0,623024000.0,617668000.0,617668000.0
Retained Earnings,240562000.0,240562000.0,219169000.0,219169000.0
Other Liab,14641000.0,14641000.0,12122000.0,12122000.0
Good Will,476093000.0,476093000.0,476093000.0,476093000.0
Treasury Stock,54455000.0,54455000.0,58921000.0,58921000.0
Other Assets,42527000.0,42527000.0,37127000.0,37127000.0
Cash,126054000.0,126054000.0,207485000.0,207485000.0
Total Current Liabilities,130185000.0,130185000.0,165270000.0,165270000.0
Deferred Long Term Asset Charges,21863000.0,21863000.0,28931000.0,28931000.0
Other Stockholder Equity,203069000.0,203069000.0,205340000.0,205340000.0
Property Plant Equipment,41600000.0,41600000.0,45592000.0,45592000.0
Total Current Assets,229247000.0,229247000.0,288557000.0,288557000.0
Long Term Investments,252430000.0,252430000.0,202975000.0,202975000.0
Net Tangible Assets,391516000.0,391516000.0,363655000.0,363655000.0
Net Receivables,93560000.0,93560000.0,73892000.0,73892000.0
Accounts Payable,47165000.0,47165000.0,41660000.0,41660000.0
Other Current Assets,,,78000.0,78000.0
