,2021-01-30,2020-10-30,2020-07-25,2020-04-25
Intangible Assets,826969000.0,826969000.0,349803000.0,349803000.0
Total Liab,774959000.0,774959000.0,855084000.0,855084000.0
Total Stockholder Equity,1471946000.0,1471946000.0,1347448000.0,1347448000.0
Other Current Liab,124472000.0,124472000.0,234519000.0,234519000.0
Total Assets,2246905000.0,2246905000.0,2202532000.0,2202532000.0
Common Stock,608615000.0,608615000.0,608615000.0,608615000.0
Retained Earnings,907661000.0,907661000.0,776680000.0,776680000.0
Other Liab,81156000.0,81156000.0,76176000.0,76176000.0
Treasury Stock,-44330000.0,-44330000.0,-37847000.0,-37847000.0
Other Assets,62868000.0,62868000.0,66924000.0,66924000.0
Cash,497243000.0,497243000.0,448832000.0,448832000.0
Total Current Liabilities,522202000.0,522202000.0,515265000.0,515265000.0
Deferred Long Term Asset Charges,62868000.0,62868000.0,66924000.0,66924000.0
Other Stockholder Equity,-44330000.0,-44330000.0,-37847000.0,-37847000.0
Property Plant Equipment,361530000.0,361530000.0,386924000.0,386924000.0
Total Current Assets,700041000.0,700041000.0,646273000.0,646273000.0
Long Term Investments,295497000.0,295497000.0,275523000.0,275523000.0
Net Tangible Assets,644977000.0,644977000.0,520560000.0,520560000.0
Short Term Investments,11725000.0,11725000.0,10531000.0,10531000.0
Net Receivables,10895000.0,10895000.0,30320000.0,30320000.0
Long Term Debt,77746000.0,77746000.0,148975000.0,148975000.0
Inventory,180178000.0,180178000.0,156590000.0,156590000.0
Accounts Payable,154230000.0,154230000.0,69637000.0,69637000.0
Good Will,,,477085000.0,477085000.0
