,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,596000.0,596000.0,1026000.0,1026000.0
Total Liab,46876000.0,46876000.0,50086000.0,50086000.0
Total Stockholder Equity,205837000.0,205837000.0,188547000.0,188547000.0
Other Current Liab,5000000.0,5000000.0,6949000.0,6949000.0
Total Assets,252713000.0,252713000.0,238633000.0,238633000.0
Common Stock,239264000.0,239264000.0,237663000.0,237663000.0
Other Current Assets,1398000.0,1398000.0,1933000.0,1933000.0
Retained Earnings,13479000.0,13479000.0,-1056000.0,-1056000.0
Other Liab,102000.0,102000.0,74000.0,74000.0
Treasury Stock,-46906000.0,-46906000.0,-48060000.0,-48060000.0
Other Assets,5128000.0,5128000.0,4335000.0,4335000.0
Cash,10800000.0,10800000.0,16066000.0,16066000.0
Total Current Liabilities,44603000.0,44603000.0,17771000.0,17771000.0
Short Long Term Debt,30021000.0,30021000.0,21000.0,21000.0
Other Stockholder Equity,-46906000.0,-46906000.0,-48060000.0,-48060000.0
Property Plant Equipment,3707000.0,3707000.0,3985000.0,3985000.0
Total Current Assets,68444000.0,68444000.0,67420000.0,67420000.0
Long Term Investments,174838000.0,174838000.0,161867000.0,161867000.0
Net Tangible Assets,205241000.0,205241000.0,187521000.0,187521000.0
Net Receivables,16201000.0,16201000.0,16322000.0,16322000.0
Accounts Payable,6709000.0,6709000.0,3977000.0,3977000.0
Long Term Debt,,,30000000.0,30000000.0
