,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,961000000.0,961000000.0,888000000.0,888000000.0
Total Liab,17799000000.0,17799000000.0,18500000000.0,18500000000.0
Total Stockholder Equity,756000000.0,756000000.0,1523000000.0,1523000000.0
Minority Interest,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Liab,4556000000.0,4556000000.0,5980000000.0,5980000000.0
Total Assets,18558000000.0,18558000000.0,20026000000.0,20026000000.0
Common Stock,3186000000.0,3186000000.0,3104000000.0,3104000000.0
Other Current Assets,273000000.0,273000000.0,346000000.0,346000000.0
Retained Earnings,-2440000000.0,-2440000000.0,-1357000000.0,-1357000000.0
Other Liab,3025000000.0,3025000000.0,3053000000.0,3053000000.0
Treasury Stock,10000000.0,10000000.0,-224000000.0,-224000000.0
Other Assets,1011000000.0,1011000000.0,1457000000.0,1457000000.0
Cash,2606000000.0,2606000000.0,3520000000.0,3520000000.0
Total Current Liabilities,7327000000.0,7327000000.0,8304000000.0,8304000000.0
Deferred Long Term Asset Charges,468000000.0,468000000.0,167000000.0,167000000.0
Short Long Term Debt,922000000.0,922000000.0,868000000.0,868000000.0
Other Stockholder Equity,28000000.0,28000000.0,-173000000.0,-173000000.0
Property Plant Equipment,12544000000.0,12544000000.0,12404000000.0,12404000000.0
Total Current Assets,3829000000.0,3829000000.0,4952000000.0,4952000000.0
Long Term Investments,213000000.0,213000000.0,163000000.0,163000000.0
Net Tangible Assets,-205000000.0,-205000000.0,473000000.0,473000000.0
Net Receivables,654000000.0,654000000.0,659000000.0,659000000.0
Long Term Debt,6343000000.0,6343000000.0,5825000000.0,5825000000.0
Inventory,296000000.0,296000000.0,306000000.0,306000000.0
Good Will,,,162000000.0,162000000.0
