,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,851589000.0,851589000.0,235618000.0,235618000.0
Total Liab,660279000.0,660279000.0,726030000.0,726030000.0
Total Stockholder Equity,990512000.0,990512000.0,864117000.0,864117000.0
Minority Interest,81699000.0,81699000.0,376000.0,376000.0
Other Current Liab,77963000.0,77963000.0,140678000.0,140678000.0
Total Assets,1732490000.0,1732490000.0,1590523000.0,1590523000.0
Common Stock,150314000.0,150314000.0,102616000.0,102616000.0
Retained Earnings,805193000.0,805193000.0,704262000.0,704262000.0
Other Liab,168280000.0,168280000.0,157572000.0,157572000.0
Treasury Stock,35005000.0,35005000.0,57239000.0,57239000.0
Other Assets,170296000.0,170296000.0,160527000.0,160527000.0
Cash,179850000.0,179850000.0,222845000.0,222845000.0
Total Current Liabilities,415133000.0,415133000.0,317776000.0,317776000.0
Deferred Long Term Asset Charges,11452000.0,11452000.0,11086000.0,11086000.0
Short Long Term Debt,239511000.0,239511000.0,69456000.0,69456000.0
Other Stockholder Equity,35005000.0,35005000.0,57239000.0,57239000.0
Property Plant Equipment,95103000.0,95103000.0,101577000.0,101577000.0
Total Current Assets,335168000.0,335168000.0,373144000.0,373144000.0
Long Term Investments,280334000.0,280334000.0,304910000.0,304910000.0
Net Tangible Assets,138923000.0,138923000.0,213752000.0,213752000.0
Net Receivables,155318000.0,155318000.0,140640000.0,140640000.0
Accounts Payable,53114000.0,53114000.0,23498000.0,23498000.0
Good Will,,,414747000.0,414747000.0
Long Term Debt,,,169785000.0,169785000.0
