,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,2755000000.0,2755000000.0,2502000000.0,2502000000.0
Capital Surplus,4314000000.0,4314000000.0,4314000000.0,4314000000.0
Total Liab,45487000000.0,45487000000.0,40873000000.0,40873000000.0
Total Stockholder Equity,47054000000.0,47054000000.0,39224000000.0,39224000000.0
Minority Interest,4849000000.0,4849000000.0,4432000000.0,4432000000.0
Other Current Liab,4532000000.0,4532000000.0,2265000000.0,2265000000.0
Total Assets,97390000000.0,97390000000.0,84529000000.0,84529000000.0
Common Stock,3988000000.0,3988000000.0,3580000000.0,3580000000.0
Other Current Assets,134000000.0,134000000.0,,
Retained Earnings,26792000000.0,26792000000.0,22960000000.0,22960000000.0
Other Liab,20633000000.0,20633000000.0,18282000000.0,18282000000.0
Good Will,946000000.0,946000000.0,821000000.0,821000000.0
Treasury Stock,11960000000.0,11960000000.0,8370000000.0,8370000000.0
Other Assets,5891000000.0,5891000000.0,5320000000.0,5320000000.0
Cash,10381000000.0,10381000000.0,6269000000.0,6269000000.0
Total Current Liabilities,11607000000.0,11607000000.0,9400000000.0,9400000000.0
Deferred Long Term Asset Charges,3385000000.0,3385000000.0,3165000000.0,3165000000.0
Short Long Term Debt,351000000.0,351000000.0,573000000.0,573000000.0
Other Stockholder Equity,11960000000.0,11960000000.0,8370000000.0,8370000000.0
Property Plant Equipment,62882000000.0,62882000000.0,55836000000.0,55836000000.0
Total Current Assets,20855000000.0,20855000000.0,15153000000.0,15153000000.0
Long Term Investments,4061000000.0,4061000000.0,4897000000.0,4897000000.0
Net Tangible Assets,43353000000.0,43353000000.0,35901000000.0,35901000000.0
Short Term Investments,139000000.0,139000000.0,2683000000.0,2683000000.0
Net Receivables,3441000000.0,3441000000.0,2581000000.0,2581000000.0
Long Term Debt,12302000000.0,12302000000.0,12016000000.0,12016000000.0
Inventory,3917000000.0,3917000000.0,3620000000.0,3620000000.0
Accounts Payable,3175000000.0,3175000000.0,6194000000.0,6194000000.0
