,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,409559000.0,412998000.0,432894000.0,448168000.0
Capital Surplus,1586545000.0,1574240000.0,1588018000.0,1570694000.0
Total Liab,1876490000.0,1707872000.0,1941984000.0,2090349000.0
Total Stockholder Equity,2709234000.0,2864984000.0,2678860000.0,2497027000.0
Other Current Liab,451003000.0,175173000.0,201079000.0,195078000.0
Total Assets,4585724000.0,4572856000.0,4620844000.0,4587376000.0
Common Stock,582000.0,582000.0,580000.0,580000.0
Retained Earnings,2941336000.0,3076569000.0,2953709000.0,2832991000.0
Other Liab,165637000.0,199164000.0,195513000.0,221575000.0
Good Will,1925991000.0,1910492000.0,1899743000.0,1890324000.0
Treasury Stock,-1819229000.0,-1786407000.0,-1863447000.0,-1907238000.0
Other Assets,160447000.0,164027000.0,156825000.0,145600000.0
Cash,230635000.0,255865000.0,421414000.0,463156000.0
Total Current Liabilities,876541000.0,577335000.0,590853000.0,602761000.0
Deferred Long Term Asset Charges,49936000.0,49628000.0,50788000.0,41065000.0
Short Long Term Debt,11990000.0,11988000.0,11988000.0,11987000.0
Other Stockholder Equity,-195973000.0,-163151000.0,-240191000.0,-283982000.0
Property Plant Equipment,583861000.0,590763000.0,549292000.0,535683000.0
Total Current Assets,1466150000.0,1451485000.0,1542609000.0,1523459000.0
Long Term Investments,39716000.0,43091000.0,39481000.0,44142000.0
Net Tangible Assets,373684000.0,541494000.0,346223000.0,158535000.0
Short Term Investments,24011000.0,,,
Net Receivables,537554000.0,518817000.0,474478000.0,484095000.0
Long Term Debt,719046000.0,813732000.0,1044435000.0,1164133000.0
Inventory,484061000.0,474821000.0,478006000.0,416915000.0
Accounts Payable,117222000.0,122166000.0,117589000.0,135786000.0
