,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,311921000.0,311921000.0,325660000.0,325660000.0
Total Liab,639232000.0,639232000.0,794036000.0,794036000.0
Total Stockholder Equity,1483389000.0,1483389000.0,1419491000.0,1419491000.0
Other Current Liab,1351000.0,1351000.0,133525000.0,133525000.0
Total Assets,2122621000.0,2122621000.0,2213527000.0,2213527000.0
Common Stock,2330256000.0,2330256000.0,2330533000.0,2330533000.0
Other Current Assets,16892000.0,16892000.0,16066000.0,16066000.0
Retained Earnings,244854000.0,244854000.0,173186000.0,173186000.0
Other Liab,65558000.0,65558000.0,74877000.0,74877000.0
Good Will,881750000.0,881750000.0,897350000.0,897350000.0
Treasury Stock,-1091721000.0,-1091721000.0,-1084228000.0,-1084228000.0
Other Assets,33693000.0,33693000.0,39025000.0,39025000.0
Cash,39625000.0,39625000.0,82166000.0,82166000.0
Total Current Liabilities,222680000.0,222680000.0,241236000.0,241236000.0
Deferred Long Term Asset Charges,32404000.0,32404000.0,36973000.0,36973000.0
Other Stockholder Equity,-1091721000.0,-1091721000.0,-1084228000.0,-1084228000.0
Property Plant Equipment,336430000.0,336430000.0,364934000.0,364934000.0
Total Current Assets,558827000.0,558827000.0,586558000.0,586558000.0
Net Tangible Assets,289718000.0,289718000.0,196481000.0,196481000.0
Net Receivables,258161000.0,258161000.0,272876000.0,272876000.0
Long Term Debt,265660000.0,265660000.0,384377000.0,384377000.0
Inventory,244149000.0,244149000.0,215450000.0,215450000.0
Accounts Payable,196464000.0,196464000.0,75711000.0,75711000.0
