,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,207000000.0,207000000.0,109000000.0,109000000.0
Total Liab,4993000000.0,4993000000.0,4175000000.0,4175000000.0
Total Stockholder Equity,9450000000.0,9450000000.0,9563000000.0,9563000000.0
Minority Interest,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Other Current Liab,144000000.0,144000000.0,174000000.0,174000000.0
Total Assets,14442000000.0,14442000000.0,13737000000.0,13737000000.0
Common Stock,13831000000.0,13831000000.0,13943000000.0,13943000000.0
Other Current Assets,24000000.0,24000000.0,55000000.0,55000000.0
Retained Earnings,-740000000.0,-740000000.0,-765000000.0,-765000000.0
Other Liab,2850000000.0,2850000000.0,2242000000.0,2242000000.0
Treasury Stock,-3641000000.0,-3641000000.0,-3615000000.0,-3615000000.0
Other Assets,623000000.0,623000000.0,514000000.0,514000000.0
Cash,1383000000.0,1383000000.0,1315000000.0,1315000000.0
Total Current Liabilities,1467000000.0,1467000000.0,1271000000.0,1271000000.0
Deferred Long Term Asset Charges,154000000.0,154000000.0,123000000.0,123000000.0
Short Long Term Debt,390000000.0,390000000.0,29000000.0,29000000.0
Other Stockholder Equity,-3612000000.0,-3612000000.0,-3566000000.0,-3566000000.0
Property Plant Equipment,10179000000.0,10179000000.0,9680000000.0,9680000000.0
Total Current Assets,2836000000.0,2836000000.0,2663000000.0,2663000000.0
Long Term Investments,597000000.0,597000000.0,632000000.0,632000000.0
Net Tangible Assets,9243000000.0,9243000000.0,9315000000.0,9315000000.0
Net Receivables,594000000.0,594000000.0,558000000.0,558000000.0
Long Term Debt,31000000.0,31000000.0,53000000.0,53000000.0
Inventory,826000000.0,826000000.0,735000000.0,735000000.0
Accounts Payable,695000000.0,695000000.0,558000000.0,558000000.0
Good Will,,,139000000.0,139000000.0
