,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Intangible Assets,6718900000.0,6718900000.0,7431200000.0,7431200000.0
Total Liab,11689200000.0,11689200000.0,11269300000.0,11269300000.0
Total Stockholder Equity,640800000.0,640800000.0,862300000.0,862300000.0
Minority Interest,-6900000.0,-6900000.0,-6100000.0,-6100000.0
Other Current Liab,709400000.0,709400000.0,685100000.0,685100000.0
Total Assets,12323100000.0,12323100000.0,12125500000.0,12125500000.0
Common Stock,5482300000.0,5482300000.0,5470900000.0,5470900000.0
Other Current Assets,10500000.0,10500000.0,500000.0,500000.0
Retained Earnings,-1481400000.0,-1481400000.0,-1259800000.0,-1259800000.0
Other Liab,1877600000.0,1877600000.0,1777300000.0,1777300000.0
Good Will,682100000.0,682100000.0,,
Treasury Stock,-3360100000.0,-3360100000.0,-3348800000.0,-3348800000.0
Other Assets,733700000.0,733700000.0,620500000.0,620500000.0
Cash,483400000.0,483400000.0,538200000.0,538200000.0
Total Current Liabilities,1112700000.0,1112700000.0,698100000.0,698100000.0
Short Long Term Debt,9088600000.0,9088600000.0,8793900000.0,8793900000.0
Other Stockholder Equity,-3360100000.0,-3360100000.0,-3348800000.0,-3348800000.0
Property Plant Equipment,3511700000.0,3511700000.0,3404900000.0,3404900000.0
Total Current Assets,672000000.0,672000000.0,668900000.0,668900000.0
Long Term Investments,4700000.0,4700000.0,,
Net Tangible Assets,-6760200000.0,-6760200000.0,-6568900000.0,-6568900000.0
Net Receivables,178100000.0,178100000.0,130200000.0,130200000.0
Long Term Debt,8698900000.0,8698900000.0,8793900000.0,8793900000.0
