,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,7113000000.0,7113000000.0,6327000000.0,6327000000.0
Total Liab,28178000000.0,28178000000.0,29256000000.0,29256000000.0
Total Stockholder Equity,14501000000.0,14501000000.0,14473000000.0,14473000000.0
Minority Interest,684000000.0,684000000.0,674000000.0,674000000.0
Deferred Long Term Liab,1346000000.0,1346000000.0,1354000000.0,1354000000.0
Other Current Liab,2671000000.0,2671000000.0,2956000000.0,2956000000.0
Total Assets,43363000000.0,43363000000.0,44403000000.0,44403000000.0
Common Stock,4426000000.0,4426000000.0,4530000000.0,4530000000.0
Other Current Assets,744000000.0,744000000.0,211000000.0,211000000.0
Retained Earnings,10134000000.0,10134000000.0,10010000000.0,10010000000.0
Other Liab,3012000000.0,3012000000.0,3089000000.0,3089000000.0
Treasury Stock,-59000000.0,-59000000.0,-67000000.0,-67000000.0
Other Assets,4015000000.0,4015000000.0,4780000000.0,4780000000.0
Cash,1295000000.0,1295000000.0,499000000.0,499000000.0
Total Current Liabilities,9622000000.0,9622000000.0,10094000000.0,10094000000.0
Deferred Long Term Asset Charges,58000000.0,58000000.0,66000000.0,66000000.0
Short Long Term Debt,2705000000.0,2705000000.0,2442000000.0,2442000000.0
Other Stockholder Equity,-59000000.0,-59000000.0,-67000000.0,-67000000.0
Property Plant Equipment,23954000000.0,23954000000.0,24529000000.0,24529000000.0
Total Current Assets,7385000000.0,7385000000.0,6534000000.0,6534000000.0
Long Term Investments,896000000.0,896000000.0,1148000000.0,1148000000.0
Net Tangible Assets,7388000000.0,7388000000.0,7061000000.0,7061000000.0
Net Receivables,4594000000.0,4594000000.0,5123000000.0,5123000000.0
Long Term Debt,12301000000.0,12301000000.0,13386000000.0,13386000000.0
Inventory,461000000.0,461000000.0,418000000.0,418000000.0
Accounts Payable,1076000000.0,1076000000.0,988000000.0,988000000.0
Good Will,,,1085000000.0,1085000000.0
