,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,876300000.0,912300000.0,922800000.0,922800000.0
Capital Surplus,13480700000.0,13480700000.0,13480700000.0,13480700000.0
Total Liab,34482800000.0,35455300000.0,36176100000.0,36176100000.0
Total Stockholder Equity,19382000000.0,21554500000.0,23527400000.0,23527400000.0
Minority Interest,3413000000.0,3545600000.0,3658200000.0,3658200000.0
Other Current Liab,1896700000.0,1866900000.0,1702000000.0,1702000000.0
Total Assets,57277800000.0,60555400000.0,63361700000.0,63361700000.0
Common Stock,692400000.0,692400000.0,692400000.0,692400000.0
Other Current Assets,1038200000.0,631100000.0,78800000.0,78800000.0
Retained Earnings,-7212600000.0,-5156900000.0,-3525900000.0,-3525900000.0
Other Liab,2548300000.0,2626100000.0,2791600000.0,2791600000.0
Good Will,1248100000.0,1398400000.0,2119400000.0,2119400000.0
Treasury Stock,12421500000.0,12538300000.0,12880200000.0,12880200000.0
Other Assets,853300000.0,937600000.0,949600000.0,949600000.0
Cash,2137600000.0,3047100000.0,3405700000.0,3405700000.0
Total Current Liabilities,4827400000.0,6753100000.0,6934000000.0,6934000000.0
Deferred Long Term Asset Charges,26500000.0,34100000.0,36600000.0,36600000.0
Short Long Term Debt,2676900000.0,4642100000.0,4952800000.0,4952800000.0
Other Stockholder Equity,12421500000.0,12538300000.0,12880200000.0,12880200000.0
Property Plant Equipment,41226900000.0,42468000000.0,44159100000.0,44159100000.0
Total Current Assets,4399300000.0,5059300000.0,4972100000.0,4972100000.0
Long Term Investments,8673900000.0,9779800000.0,10238700000.0,10238700000.0
Net Tangible Assets,17257600000.0,19243800000.0,20485200000.0,20485200000.0
Net Receivables,1191500000.0,1346600000.0,1428900000.0,1428900000.0
Long Term Debt,26310500000.0,25299100000.0,25644900000.0,25644900000.0
Inventory,32000000.0,34500000.0,58700000.0,58700000.0
Accounts Payable,211800000.0,191300000.0,232700000.0,232700000.0
