,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,501238000.0,501238000.0,512546000.0,512546000.0
Total Liab,1841430000.0,1841430000.0,1931116000.0,1931116000.0
Total Stockholder Equity,2195836000.0,2195836000.0,2161299000.0,2161299000.0
Deferred Long Term Liab,11459000.0,11459000.0,9630000.0,9630000.0
Other Current Liab,153549000.0,153549000.0,116777000.0,116777000.0
Total Assets,4037266000.0,4037266000.0,4092415000.0,4092415000.0
Common Stock,3780297000.0,3780297000.0,3778039000.0,3778039000.0
Other Current Assets,41078000.0,41078000.0,38418000.0,38418000.0
Retained Earnings,-1604295000.0,-1604295000.0,-1623437000.0,-1623437000.0
Other Liab,361325000.0,361325000.0,372538000.0,372538000.0
Good Will,1267229000.0,1267229000.0,1267522000.0,1267522000.0
Treasury Stock,19834000.0,19834000.0,6697000.0,6697000.0
Other Assets,124078000.0,124078000.0,119337000.0,119337000.0
Cash,44643000.0,44643000.0,59604000.0,59604000.0
Total Current Liabilities,408081000.0,408081000.0,435468000.0,435468000.0
Deferred Long Term Asset Charges,85517000.0,85517000.0,90781000.0,90781000.0
Short Long Term Debt,46135000.0,46135000.0,60795000.0,60795000.0
Other Stockholder Equity,21661000.0,21661000.0,8524000.0,8524000.0
Property Plant Equipment,1887459000.0,1887459000.0,1910744000.0,1910744000.0
Total Current Assets,257262000.0,257262000.0,282266000.0,282266000.0
Net Tangible Assets,427369000.0,427369000.0,381231000.0,381231000.0
Net Receivables,137694000.0,137694000.0,153290000.0,153290000.0
Long Term Debt,926435000.0,926435000.0,966443000.0,966443000.0
Accounts Payable,85856000.0,85856000.0,64717000.0,64717000.0
