,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Total Liab,40049936.0,40049936.0,57533881.0,57533881.0
Total Stockholder Equity,1411685608.0,1411685608.0,1221680985.0,1221680985.0
Other Current Liab,19719836.0,19719836.0,271518.0,271518.0
Total Assets,1451735544.0,1451735544.0,1279214866.0,1279214866.0
Common Stock,1435185547.0,1435185547.0,1352964191.0,1352964191.0
Retained Earnings,-23499939.0,-23499939.0,-131283206.0,-131283206.0
Other Assets,81424068.0,81424068.0,68540392.0,68540392.0
Cash,79766826.0,79766826.0,203400924.0,203400924.0
Total Current Liabilities,40049936.0,40049936.0,33755839.0,33755839.0
Deferred Long Term Asset Charges,81424068.0,81424068.0,68540392.0,68540392.0
Total Current Assets,1370311476.0,1370311476.0,1210674474.0,1210674474.0
Net Tangible Assets,1411685608.0,1411685608.0,1221680985.0,1221680985.0
Short Term Investments,1285620566.0,1285620566.0,963612288.0,963612288.0
Net Receivables,4924084.0,4924084.0,43661262.0,43661262.0
Accounts Payable,18937862.0,18937862.0,31527503.0,31527503.0
Other Liab,,,23778042.0,23778042.0
