,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,877600000.0,877600000.0,980000000.0,980000000.0
Total Liab,4424300000.0,4424300000.0,5214000000.0,5214000000.0
Total Stockholder Equity,5448200000.0,5448200000.0,5881000000.0,5881000000.0
Minority Interest,38400000.0,38400000.0,59000000.0,59000000.0
Other Current Liab,864000000.0,864000000.0,533000000.0,533000000.0
Total Assets,9910900000.0,9910900000.0,11154000000.0,11154000000.0
Common Stock,5321200000.0,5321200000.0,5301000000.0,5301000000.0
Other Current Assets,416800000.0,416800000.0,381000000.0,381000000.0
Retained Earnings,814800000.0,814800000.0,922000000.0,922000000.0
Other Liab,300400000.0,300400000.0,425000000.0,425000000.0
Good Will,5086500000.0,5086500000.0,5422000000.0,5422000000.0
Treasury Stock,-687800000.0,-687800000.0,-342000000.0,-342000000.0
Other Assets,398900000.0,398900000.0,558000000.0,558000000.0
Cash,477600000.0,477600000.0,467000000.0,467000000.0
Total Current Liabilities,2738300000.0,2738300000.0,3127000000.0,3127000000.0
Deferred Long Term Asset Charges,180500000.0,180500000.0,322000000.0,322000000.0
Short Long Term Debt,550400000.0,550400000.0,473000000.0,473000000.0
Other Stockholder Equity,-687800000.0,-687800000.0,-342000000.0,-342000000.0
Property Plant Equipment,654100000.0,654100000.0,783000000.0,783000000.0
Total Current Assets,2732200000.0,2732200000.0,3213000000.0,3213000000.0
Long Term Investments,161600000.0,161600000.0,198000000.0,198000000.0
Net Tangible Assets,-515900000.0,-515900000.0,-521000000.0,-521000000.0
Net Receivables,1716900000.0,1716900000.0,2263000000.0,2263000000.0
Long Term Debt,1162700000.0,1162700000.0,1380000000.0,1380000000.0
Accounts Payable,1202900000.0,1202900000.0,1470000000.0,1470000000.0
