,2021-01-03,2020-10-03,2020-06-28,2020-03-28
Intangible Assets,7740000000.0,7740000000.0,3521000000.0,3521000000.0
Total Liab,29802000000.0,29802000000.0,29440000000.0,29440000000.0
Total Stockholder Equity,9355000000.0,9355000000.0,8742000000.0,8742000000.0
Minority Interest,327000000.0,327000000.0,290000000.0,290000000.0
Other Current Liab,2200000000.0,2200000000.0,813000000.0,813000000.0
Total Assets,39484000000.0,39484000000.0,38472000000.0,38472000000.0
Common Stock,6281000000.0,6281000000.0,6197000000.0,6197000000.0
Other Current Assets,344000000.0,344000000.0,883000000.0,883000000.0
Retained Earnings,2858000000.0,2858000000.0,2329000000.0,2329000000.0
Other Liab,1060000000.0,1060000000.0,1177000000.0,1177000000.0
Treasury Stock,216000000.0,216000000.0,216000000.0,216000000.0
Other Assets,1709000000.0,1709000000.0,1732000000.0,1732000000.0
Cash,2135000000.0,2135000000.0,2068000000.0,2068000000.0
Total Current Liabilities,13303000000.0,13303000000.0,13191000000.0,13191000000.0
Deferred Long Term Asset Charges,1358000000.0,1358000000.0,1327000000.0,1327000000.0
Short Long Term Debt,721000000.0,721000000.0,1807000000.0,1807000000.0
Other Stockholder Equity,216000000.0,216000000.0,216000000.0,216000000.0
Property Plant Equipment,21719000000.0,21719000000.0,20804000000.0,20804000000.0
Total Current Assets,8140000000.0,8140000000.0,8125000000.0,8125000000.0
Long Term Investments,176000000.0,176000000.0,94000000.0,94000000.0
Net Tangible Assets,1615000000.0,1615000000.0,1025000000.0,1025000000.0
Net Receivables,853000000.0,853000000.0,548000000.0,548000000.0
Long Term Debt,1905000000.0,1905000000.0,1904000000.0,1904000000.0
Inventory,4808000000.0,4808000000.0,4434000000.0,4434000000.0
Accounts Payable,8530000000.0,8530000000.0,5843000000.0,5843000000.0
Good Will,,,4196000000.0,4196000000.0
