,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,75000000.0,75000000.0,53000000.0,53000000.0
Total Liab,5862000000.0,5862000000.0,5029000000.0,5029000000.0
Total Stockholder Equity,5191000000.0,5191000000.0,6483000000.0,6483000000.0
Minority Interest,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Liab,38000000.0,38000000.0,592000000.0,592000000.0
Total Assets,11055000000.0,11055000000.0,11514000000.0,11514000000.0
Common Stock,6219000000.0,6219000000.0,6482000000.0,6482000000.0
Other Current Assets,30000000.0,30000000.0,72000000.0,72000000.0
Retained Earnings,-1157000000.0,-1157000000.0,488000000.0,488000000.0
Other Liab,954000000.0,954000000.0,853000000.0,853000000.0
Good Will,60000000.0,60000000.0,60000000.0,60000000.0
Treasury Stock,129000000.0,129000000.0,-487000000.0,-487000000.0
Other Assets,437000000.0,437000000.0,1478000000.0,1478000000.0
Cash,637000000.0,637000000.0,423000000.0,423000000.0
Total Current Liabilities,1199000000.0,1199000000.0,1911000000.0,1911000000.0
Short Long Term Debt,455000000.0,455000000.0,826000000.0,826000000.0
Other Stockholder Equity,129000000.0,129000000.0,-487000000.0,-487000000.0
Property Plant Equipment,8883000000.0,8883000000.0,8550000000.0,8550000000.0
Total Current Assets,1343000000.0,1343000000.0,1140000000.0,1140000000.0
Long Term Investments,257000000.0,257000000.0,233000000.0,233000000.0
Net Tangible Assets,5056000000.0,5056000000.0,6370000000.0,6370000000.0
Net Receivables,364000000.0,364000000.0,392000000.0,392000000.0
Long Term Debt,3629000000.0,3629000000.0,2215000000.0,2215000000.0
Inventory,312000000.0,312000000.0,253000000.0,253000000.0
Accounts Payable,414000000.0,414000000.0,349000000.0,349000000.0
