2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,10.71
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,0
peerCount,15
governanceScore,5.77
environmentPercentile,0
animalTesting,False
tobacco,False
totalEsg,20.07
highestControversy,0
esgPerformance,
coal,False
pesticides,False
adult,False
percentile,21.93
peerGroup,Transportation Infrastructure
smallArms,False
environmentScore,3.59
governancePercentile,0
militaryContract,False
