2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,11.35
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,0
peerCount,24
governanceScore,12.62
environmentPercentile,0
animalTesting,False
tobacco,False
totalEsg,29.74
highestControversy,3
esgPerformance,
coal,False
pesticides,False
adult,False
percentile,56.92
peerGroup,Construction & Engineering
smallArms,False
environmentScore,5.78
governancePercentile,0
militaryContract,False
