2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,12.38
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,0
peerCount,27
governanceScore,7.58
environmentPercentile,0
animalTesting,False
tobacco,False
totalEsg,32.74
highestControversy,4
esgPerformance,LEAD_PERF
coal,True
pesticides,False
adult,False
percentile,67.43
peerGroup,Diversified Metals
smallArms,False
environmentScore,12.78
governancePercentile,0
militaryContract,False
