2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,10.07
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,0
peerCount,27
governanceScore,4.68
environmentPercentile,0
animalTesting,False
tobacco,False
totalEsg,30.57
highestControversy,2
esgPerformance,LEAD_PERF
coal,True
pesticides,False
adult,False
percentile,59.9
peerGroup,Diversified Metals
smallArms,False
environmentScore,15.81
governancePercentile,0
militaryContract,False
