2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,9.8
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,0
peerCount,71
governanceScore,8.79
environmentPercentile,0
animalTesting,False
tobacco,False
totalEsg,35.36
highestControversy,2
esgPerformance,LEAD_PERF
coal,False
pesticides,False
adult,False
percentile,75.23
peerGroup,Oil & Gas Producers
smallArms,False
environmentScore,16.77
governancePercentile,0
militaryContract,False
