2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,5.79
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,0
peerCount,15
governanceScore,4.73
environmentPercentile,0
animalTesting,False
tobacco,False
totalEsg,11.26
highestControversy,2
esgPerformance,LAG_PERF
coal,False
pesticides,False
adult,False
percentile,2.55
peerGroup,Transportation Infrastructure
smallArms,False
environmentScore,0.74
governancePercentile,0
militaryContract,False
