2021-5,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,10.7
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,
peerCount,65
governanceScore,6.68
environmentPercentile,
animalTesting,False
tobacco,False
totalEsg,21.07
highestControversy,2
esgPerformance,AVG_PERF
coal,False
pesticides,False
adult,False
percentile,25.21
peerGroup,Telecommunication Services
smallArms,False
environmentScore,3.68
governancePercentile,
militaryContract,False
